file_name, label
0000_7813.png, 7813
0001_1880.png, 1880
0002_3174.png, 3174
0003_2352.png, 2352
0004_6699.png, 6699
0005_2325.png, 2325
0006_5008.png, 5008
0007_2426.png, 2426
0008_9639.png, 9639
0009_2636.png, 2636
0010_0423.png, 0423
0011_3740.png, 3740
0012_2283.png, 2283
0013_3210.png, 3210
0014_0421.png, 0421
0015_3039.png, 3039
0016_0045.png, 0045
0017_8852.png, 8852
0018_2520.png, 2520
0019_6457.png, 6457
0020_6375.png, 6375
0021_5343.png, 5343
0022_8115.png, 8115
0023_4655.png, 4655
0024_9529.png, 9529
0025_0999.png, 0999
0026_4120.png, 4120
0027_8434.png, 8434
0028_5814.png, 5814
0029_5774.png, 5774
0030_6086.png, 6086
0031_9854.png, 9854
0032_0428.png, 0428
0033_6508.png, 6508
0034_3395.png, 3395
0035_2957.png, 2957
0036_0793.png, 0793
0037_2055.png, 2055
0038_1186.png, 1186
0039_0482.png, 0482
0040_1671.png, 1671
0041_7562.png, 7562
0042_3693.png, 3693
0043_7171.png, 7171
0044_5872.png, 5872
0045_7867.png, 7867
0046_2509.png, 2509
0047_3454.png, 3454
0048_8997.png, 8997
0049_4061.png, 4061
0050_7938.png, 7938
0051_4177.png, 4177
0052_5222.png, 5222
0053_5845.png, 5845
0054_8395.png, 8395
0055_9996.png, 9996
0056_8247.png, 8247
0057_8699.png, 8699
0058_7182.png, 7182
0059_6878.png, 6878
0060_9136.png, 9136
0061_5410.png, 5410
0062_7377.png, 7377
0063_0592.png, 0592
0064_3208.png, 3208
0065_1411.png, 1411
0066_0684.png, 0684
0067_9452.png, 9452
0068_2507.png, 2507
0069_9625.png, 9625
0070_0601.png, 0601
0071_3530.png, 3530
0072_7302.png, 7302
0073_8120.png, 8120
0074_4112.png, 4112
0075_2307.png, 2307
0076_3824.png, 3824
0077_1817.png, 1817
0078_2391.png, 2391
0079_9306.png, 9306
0080_6496.png, 6496
0081_5378.png, 5378
0082_3261.png, 3261
0083_2860.png, 2860
0084_4637.png, 4637
0085_1392.png, 1392
0086_4135.png, 4135
0087_0394.png, 0394
0088_0237.png, 0237
0089_2136.png, 2136
0090_4921.png, 4921
0091_3787.png, 3787
0092_4530.png, 4530
0093_9059.png, 9059
0094_9805.png, 9805
0095_4762.png, 4762
0096_6156.png, 6156
0097_9685.png, 9685
0098_0981.png, 0981
0099_0227.png, 0227
0100_2312.png, 2312
0101_8006.png, 8006
0102_4953.png, 4953
0103_0011.png, 0011
0104_2523.png, 2523
0105_3917.png, 3917
0106_4016.png, 4016
0107_6188.png, 6188
0108_9772.png, 9772
0109_6418.png, 6418
0110_4798.png, 4798
0111_9028.png, 9028
0112_9673.png, 9673
0113_8475.png, 8475
0114_7342.png, 7342
0115_4711.png, 4711
0116_8067.png, 8067
0117_7822.png, 7822
0118_2920.png, 2920
0119_4996.png, 4996
0120_4035.png, 4035
0121_9810.png, 9810
0122_6568.png, 6568
0123_9489.png, 9489
0124_5655.png, 5655
0125_2199.png, 2199
0126_1579.png, 1579
0127_0473.png, 0473
0128_0349.png, 0349
0129_3917.png, 3917
0130_5262.png, 5262
0131_3872.png, 3872
0132_8541.png, 8541
0133_8177.png, 8177
0134_0399.png, 0399
0135_9359.png, 9359
0136_6726.png, 6726
0137_9566.png, 9566
0138_3553.png, 3553
0139_8130.png, 8130
0140_8876.png, 8876
0141_9753.png, 9753
0142_6273.png, 6273
0143_5923.png, 5923
0144_8078.png, 8078
0145_4708.png, 4708
0146_2993.png, 2993
0147_5858.png, 5858
0148_2766.png, 2766
0149_1978.png, 1978
0150_9123.png, 9123
0151_3905.png, 3905
0152_5921.png, 5921
0153_1443.png, 1443
0154_2182.png, 2182
0155_2955.png, 2955
0156_9839.png, 9839
